overview,United Kingdom,K02000001,2021-08-23,31914,6524581
overview,United Kingdom,K02000001,2021-08-22,32253,6492906
overview,United Kingdom,K02000001,2021-08-21,32058,6460930
overview,United Kingdom,K02000001,2021-08-20,37314,6429147
overview,United Kingdom,K02000001,2021-08-19,36572,6392160
overview,United Kingdom,K02000001,2021-08-18,33904,6355887
overview,United Kingdom,K02000001,2021-08-17,26852,6322241
overview,United Kingdom,K02000001,2021-08-16,28438,6295613
overview,United Kingdom,K02000001,2021-08-15,26750,6267437
overview,United Kingdom,K02000001,2021-08-14,29520,6241011
overview,United Kingdom,K02000001,2021-08-13,32700,6211868
overview,United Kingdom,K02000001,2021-08-12,33074,6179506
overview,United Kingdom,K02000001,2021-08-11,29612,6146800
overview,United Kingdom,K02000001,2021-08-10,23510,6117540
overview,United Kingdom,K02000001,2021-08-09,25161,6094243
overview,United Kingdom,K02000001,2021-08-08,27429,6069362
overview,United Kingdom,K02000001,2021-08-07,28612,6042252
overview,United Kingdom,K02000001,2021-08-06,31808,6014023
overview,United Kingdom,K02000001,2021-08-05,30215,5982581
overview,United Kingdom,K02000001,2021-08-04,29312,5952756
overview,United Kingdom,K02000001,2021-08-03,21691,5923820
overview,United Kingdom,K02000001,2021-08-02,21952,5902354
overview,United Kingdom,K02000001,2021-08-01,24470,5880667
overview,United Kingdom,K02000001,2021-07-31,26144,5856528
overview,United Kingdom,K02000001,2021-07-30,29622,5830774
overview,United Kingdom,K02000001,2021-07-29,31117,5801561
overview,United Kingdom,K02000001,2021-07-28,27734,5770928
overview,United Kingdom,K02000001,2021-07-27,23511,5745526
overview,United Kingdom,K02000001,2021-07-26,24950,5722298
overview,United Kingdom,K02000001,2021-07-25,29173,5697912
overview,United Kingdom,K02000001,2021-07-24,31795,5669260
overview,United Kingdom,K02000001,2021-07-23,36389,5637975
overview,United Kingdom,K02000001,2021-07-22,39906,5602321
overview,United Kingdom,K02000001,2021-07-21,44104,5563006
overview,United Kingdom,K02000001,2021-07-20,46558,5519602
overview,United Kingdom,K02000001,2021-07-19,39950,5473477
overview,United Kingdom,K02000001,2021-07-18,48161,5433939
overview,United Kingdom,K02000001,2021-07-17,54674,5386340
overview,United Kingdom,K02000001,2021-07-16,51870,5332371
overview,United Kingdom,K02000001,2021-07-15,48553,5281098
overview,United Kingdom,K02000001,2021-07-14,42302,5233207
overview,United Kingdom,K02000001,2021-07-13,36660,5191459
overview,United Kingdom,K02000001,2021-07-12,34471,5155243
overview,United Kingdom,K02000001,2021-07-11,31772,5121245
overview,United Kingdom,K02000001,2021-07-10,32367,5089893
overview,United Kingdom,K02000001,2021-07-09,35707,5058093
overview,United Kingdom,K02000001,2021-07-08,32551,5022893
overview,United Kingdom,K02000001,2021-07-07,32548,4990916
overview,United Kingdom,K02000001,2021-07-06,28773,4958868
overview,United Kingdom,K02000001,2021-07-05,27334,4930534
overview,United Kingdom,K02000001,2021-07-04,24248,4903434
overview,United Kingdom,K02000001,2021-07-03,24885,4879616
overview,United Kingdom,K02000001,2021-07-02,27125,4855169
overview,United Kingdom,K02000001,2021-07-01,27989,4828463
overview,United Kingdom,K02000001,2021-06-30,26068,4800907
overview,United Kingdom,K02000001,2021-06-29,20479,4775301
overview,United Kingdom,K02000001,2021-06-28,22868,4755078
overview,United Kingdom,K02000001,2021-06-27,14876,4732434
overview,United Kingdom,K02000001,2021-06-26,18270,4717811
overview,United Kingdom,K02000001,2021-06-25,15810,4699868
overview,United Kingdom,K02000001,2021-06-24,16703,4684572
overview,United Kingdom,K02000001,2021-06-23,16135,4667870
overview,United Kingdom,K02000001,2021-06-22,11625,4651988
overview,United Kingdom,K02000001,2021-06-21,10633,4640507
overview,United Kingdom,K02000001,2021-06-20,9284,4630040
overview,United Kingdom,K02000001,2021-06-19,10321,4620968
overview,United Kingdom,K02000001,2021-06-18,10476,4610893
overview,United Kingdom,K02000001,2021-06-17,11007,4600623
overview,United Kingdom,K02000001,2021-06-16,9055,4589814
overview,United Kingdom,K02000001,2021-06-15,7673,4581006
overview,United Kingdom,K02000001,2021-06-14,7742,4573419
overview,United Kingdom,K02000001,2021-06-13,7490,4565813
overview,United Kingdom,K02000001,2021-06-12,7738,4558494
overview,United Kingdom,K02000001,2021-06-11,8125,4550944
overview,United Kingdom,K02000001,2021-06-10,7393,4542986
overview,United Kingdom,K02000001,2021-06-09,7540,4535754
overview,United Kingdom,K02000001,2021-06-08,6048,4528442
overview,United Kingdom,K02000001,2021-06-07,5683,4522476
overview,United Kingdom,K02000001,2021-06-06,5341,4516892
overview,United Kingdom,K02000001,2021-06-05,5765,4511669
overview,United Kingdom,K02000001,2021-06-04,6238,4506018
overview,United Kingdom,K02000001,2021-06-03,5274,4499878
