,date,UK 1st dose daily,UK 2nd dose daily,UK Booster/3rd dose daily,UK daily total,UK 1st dose total,UK 2nd dose total,UK Booster/3rd dose total,UK cumulative total,UK Cases daily,UK Cases total
291,09/02/2021,411812.0,3161.0,0.0,414973.0,13058298,519553,0.0,13577851,12364,3972148
292,08/02/2021,352480.0,3811.0,0.0,356291.0,12646486,516392,0.0,13162878,14104,3959784
293,07/02/2021,278988.0,862.0,0.0,279850.0,12294006,512581,0.0,12806587,15845,3945680
294,06/02/2021,549808.0,1662.0,0.0,551470.0,12015018,511719,0.0,12526737,18262,3929835
295,05/02/2021,494163.0,4064.0,0.0,498227.0,11465210,510057,0.0,11975267,19114,3911573
296,04/02/2021,480560.0,4036.0,0.0,484596.0,10971047,505993,0.0,11477040,20634,3892459
297,03/02/2021,469016.0,2995.0,0.0,472011.0,10490487,501957,0.0,10992444,19202,3871825
298,02/02/2021,374756.0,2166.0,0.0,376922.0,10021471,498962,0.0,10520433,16840,3852623
299,01/02/2021,350348.0,2587.0,0.0,352935.0,9646715,496796,0.0,10143511,18607,3835783
300,31/01/2021,319038.0,3156.0,0.0,322194.0,9296367,494209,0.0,9790576,21088,3817176
301,30/01/2021,598389.0,10621.0,0.0,609010.0,8977329,491053,0.0,9468382,23275,3796088
302,29/01/2021,487756.0,2178.0,0.0,489934.0,8378940,480432,0.0,8859372,29079,3772813
303,28/01/2021,414419.0,1769.0,0.0,416188.0,7891184,478254,0.0,8369438,28680,3743734
304,27/01/2021,312378.0,2329.0,0.0,314707.0,7476765,476485,0.0,7953250,25308,3715054
305,26/01/2021,311060.0,1710.0,0.0,312770.0,7164387,474156,0.0,7638543,20089,3689746
306,25/01/2021,279757.0,1968.0,0.0,281725.0,6853327,472446,0.0,7325773,22195,3669658
307,24/01/2021,220249.0,818.0,0.0,221067.0,6573570,470478,0.0,7044048,30004,3647463
308,23/01/2021,491970.0,1043.0,0.0,493013.0,6353321,469660,0.0,6822981,33552,3617459
309,22/01/2021,478248.0,1821.0,0.0,480069.0,5861351,468617,0.0,6329968,40261,3583907
310,21/01/2021,409855.0,2760.0,0.0,412615.0,5383103,466796,0.0,5849899,37892,3543646
311,20/01/2021,363508.0,3411.0,0.0,366919.0,4973248,464036,0.0,5437284,38905,3505754
312,19/01/2021,343163.0,3759.0,0.0,346922.0,4609740,460625,0.0,5070365,33355,3466849
313,18/01/2021,204076.0,4565.0,0.0,208641.0,4266577,456866,0.0,4723443,37535,3433494
314,17/01/2021,190107.0,2239.0,0.0,192346.0,4062501,452301,0.0,4514802,38598,3395959
315,16/01/2021,296131.0,2620.0,0.0,298751.0,3872394,450062,0.0,4322456,41346,3357361
316,15/01/2021,341317.0,4208.0,0.0,345525.0,3576263,447442,0.0,4023705,55761,3316019
317,14/01/2021,316694.0,5257.0,0.0,321951.0,3234946,443234,0.0,3678180,48682,3260258
318,13/01/2021,278943.0,9745.0,0.0,288688.0,2918252,437977,0.0,3356229,47525,3211576
319,12/01/2021,207661.0,16065.0,0.0,223726.0,2639309,428232,0.0,3067541,45533,3164051
320,11/01/2021,145076.0,20768.0,0.0,165844.0,2431648,412167,0.0,2843815,46169,3118518
321,10/01/2021,2286572.0,391399.0,0.0,2677971.0,2286572,391399,0.0,2677971,54940,3072349
